iter	RMSE
0	70579.52473
1	69640.83835
2	68747.38679
3	67867.94922
4	67039.1892
5	66284.61607
6	65506.02039
7	64826.2287
8	64211.99913
9	63504.73996
10	62811.50368
11	62348.47851
12	61743.08486
13	61151.58747
14	60501.03014
15	60062.58397
16	59685.96587
17	59100.16718
18	58580.5703
19	58095.56026
20	57678.37551
21	57341.19654
22	56905.18308
23	56410.58206
24	56019.01671
25	55680.77711
26	55324.65676
27	54862.44431
28	54373.15111
29	54091.2076
30	53777.14766
31	53465.68383
32	53207.09461
33	52863.77758
34	52518.98687
35	52216.47291
36	51929.86803
37	51756.18469
38	51531.20238
39	51221.3681
40	50981.36401
41	50705.967
42	50432.53074
43	50129.30917
44	49924.19548
45	49680.88412
46	49457.32868
47	49262.74346
48	49063.24726
49	48818.8624
50	48613.49909
51	48550.76864
52	48433.95799
53	48369.43664
54	48211.52436
55	48036.46909
56	47893.18069
57	47710.80441
58	47545.64971
59	47384.40744
60	47208.63146
61	46982.44781
62	46806.60518
63	46672.19874
64	46547.69558
65	46380.14271
66	46140.71652
67	46022.29599
68	45908.03386
69	45834.45966
70	45616.73963
71	45479.87343
72	45354.50182
73	45281.8506
74	45161.55364
75	45035.55317
76	44921.13076
77	44810.12579
78	44697.56186
79	44516.27544
80	44418.31752
81	44323.00322
82	44207.87538
83	44113.45509
84	43949.96078
85	43870.80005
86	43765.55705
87	43700.86855
88	43605.2846
89	43490.44336
90	43408.13622
91	43360.34404
92	43229.41796
93	43087.31112
94	43000.76969
95	42920.14744
96	42810.4226
97	42732.74959
98	42640.09679
99	42552.35738
100	42448.27604
101	42429.02229
102	42352.77705
103	42272.52072
104	42184.86057
105	42123.08931
106	42101.59974
107	42041.68376
108	41910.0555
109	41818.15987
110	41743.50039
111	41712.75108
112	41651.37643
113	41552.11457
114	41468.70326
115	41414.12226
116	41333.50031
117	41296.65246
118	41211.67904
119	41101.29412
120	41045.83801
121	40964.95151
122	40876.09554
123	40825.34889
124	40722.86057
125	40670.37173
126	40575.54344
127	40518.79819
128	40466.22404
129	40402.25207
130	40338.50494
131	40251.32954
132	40189.71254
133	40110.11008
134	40052.36349
135	40037.52145
136	39948.46441
137	39914.46979
138	39843.69939
139	39786.34487
140	39747.37552
141	39678.44882
142	39642.67166
143	39571.97159
144	39535.62319
145	39468.47262
146	39427.60573
147	39360.10889
148	39330.76235
149	39194.16187
150	39146.79152
151	39019.52649
152	38925.62524
153	38861.36137
154	38809.8418
155	38760.07304
156	38709.97499
157	38637.19725
158	38592.81458
159	38542.51916
160	38488.04764
161	38411.01388
162	38343.21814
163	38310.92756
164	38257.99839
165	38201.6644
166	38140.53368
167	38092.70648
168	38056.18888
169	38001.99067
170	37927.61043
171	37816.05564
172	37762.18945
173	37681.87728
174	37611.83757
175	37550.58901
176	37438.86159
177	37391.70686
178	37348.88862
179	37304.62037
180	37246.50325
181	37207.90939
182	37185.6686
183	37119.7407
184	37100.01972
185	37037.04059
186	36963.45948
187	36878.28539
188	36845.89717
189	36781.65626
190	36750.41787
191	36693.42304
192	36658.20531
193	36605.38057
194	36555.16749
195	36507.67408
196	36432.13132
197	36387.08987
198	36317.33408
199	36269.01304
200	36242.27814
201	36183.69835
202	36129.18956
203	36077.00669
204	36030.49368
205	35983.92526
206	35905.41151
207	35859.68557
208	35812.46365
209	35762.63522
210	35714.27374
211	35647.70209
212	35603.51994
213	35561.2607
214	35524.58808
215	35465.20969
216	35416.78157
217	35377.27406
218	35286.76032
219	35243.87467
220	35208.56377
221	35152.91384
222	35114.98651
223	35068.63386
224	35019.92143
225	34977.31526
226	34881.75193
227	34837.64906
228	34794.54748
229	34744.09193
230	34708.89995
231	34652.25018
232	34617.79744
233	34587.02629
234	34550.54533
235	34515.5038
236	34480.26592
237	34442.90469
238	34413.74564
239	34342.97777
240	34313.53706
241	34280.41219
242	34222.62296
243	34193.59326
244	34173.41956
245	34144.16461
246	34117.17855
247	34086.01429
248	34035.50997
249	33994.93062
250	33921.78155
251	33903.05795
252	33874.9546
253	33842.71344
254	33809.92316
255	33777.52891
256	33727.524
257	33697.52554
258	33670.97823
259	33629.5851
260	33581.93036
261	33554.81047
262	33493.35674
263	33462.51976
264	33435.34968
265	33404.63642
266	33368.4488
